Season,game_id,home_team_id,Home Team,away_team_id,Away Team,Home Shots,Home Shots Blocked,Home Power Play Opportunities,Home PIM,Home Player Hits,Home Giveaways,Home Takeaways,Home Injured Players,Away Shots,Away Shots Blocked,Away Power Play Opportunities,Away PIM,Away Player Hits,Away Giveaways,Away Takeaways,Away Injured Players
2011,2011020715,24,Anaheim Ducks (ANA),21,Colorado Avalanche (COL),27.766025641,14.2264957265,3.638888889,11.9615384615,20.7905982905,7.107905983,6.3504273505,2.527777778,31.501068376,12.8333333335,3.7115384615,12.09508547,21.386752137000002,7.1773504275,7.842948718,2.784188034
2014,2014021204,4,Philadelphia Flyers (PHI),12,Carolina Hurricanes (CAR),28.652777778,15.152777778,3.013888889,8.6666666665,26.1944444445,7.6944444445,6.569444444,2.7083333334999997,30.0416666665,14.069444444,3.277777778,8.4305555555,25.1944444445,7.8888888885,7.472222222,2.6805555555
2018,2018020994,3,NY Rangers Rangers (NYR),8,Montreal Canadiens (MTL),29.4975744975,17.076230075999998,3.0748440749999997,9.2155232155,25.062023562,12.901247401500001,8.4556479555,2.5623700620000003,33.9234234235,13.70997921,3.286902287,8.647955648,25.3787248785,11.637907137500001,7.234927235000001,2.7844767845
2013,2013020929,18,Nashville Predators (NSH),5,Pittsburgh Penguins (PIT),28.1285714285,14.1160714285,3.1125,10.9208333335,23.475595238,6.1952380950000006,6.8964285714999995,2.581547619,30.1523809525,13.8279761905,3.2785714285000003,10.5535714285,22.1904761905,7.645833333500001,6.025,2.586309524
2014,2014020875,10,Toronto Maple Leafs (TOR),52,Winnipeg Jets (WPG),28.848506401,16.180654338500002,3.7844950215,10.4751066855,27.4768847795,10.318278805,8.533428165,2.356685633,32.2307965865,13.4704836415,3.333926031,12.133357041,29.281650071,9.306899004000002,7.8428165005,2.679943101
2014,2014021087,25,Dallas Stars (DAL),7,Buffalo Sabres (BUF),32.695112782,12.5342105265,3.454511278,11.267293233,19.831954887499997,7.9439849625,6.1368421054999995,2.4116541355,27.234962406,16.760150376,3.1507518799999996,11.746992481,23.948120301,7.998120301,6.30075188,2.7770676695
2009,2009020634,18,Nashville Predators (NSH),20,Calgary Flames (CGY),30.130448718,13.459294872000001,3.8493589745000003,12.517628205000001,18.406730769,9.403205128,7.161217948500001,2.116025641,28.423397436000002,12.798397436,3.482051282,13.079807692500001,18.406089743499997,9.638782051500002,7.920512820499999,2.394551282
2005,2005021100,11,Atlanta Thrashers (ATL),12,Carolina Hurricanes (CAR),31.215176715,13.4386694385,6.3121968125,17.2155232155,15.8305613305,8.5841995845,7.8312543315,2.118849619,29.860360360500003,13.176715177,6.580734581,16.2772002775,14.122314622,6.910256410500001,6.531185031,2.6084546084999998
2010,2010020984,3,NY Rangers Rangers (NYR),4,Philadelphia Flyers (PHI),29.079658606000002,15.4598150785,4.031650071,14.6596728305,25.149715505,6.9310099575,6.960170697000001,2.228662873,31.501422475000002,14.825391181,3.791251778,15.6738975815,24.3929587485,7.3698435275000005,6.802631579,2.4402560455
2011,2011021104,14,Tampa Bay Lightning (TBL),22,Edmonton Oilers (EDM),29.391891891500002,13.6486486485,3.797297297,12.027027026999999,20.297297297500002,8.0675675675,7.5135135134999995,2.513513514,28.418918919,14.054054054000002,4.054054054,11.918918918500001,19.2837837835,9.270270270000001,7.418918919,2.445945946
2010,2010020866,18,Nashville Predators (NSH),23,Vancouver Canucks (VAN),29.3305019305,13.568725869000001,3.6123552125,10.925096525499999,21.303861003999998,7.9864864865000005,7.4671814675,2.38996139,30.533976834,13.673359073,3.811583012,10.365250965,21.6822393825,7.384555985,7.71003861,2.52007722
2005,2005020748,21,Colorado Avalanche (COL),25,Dallas Stars (DAL),27.1495726495,14.266025641,6.270299144999999,17.253205127999998,15.5897435895,9.979700854499999,8.7841880345,2.607905983,28.730769231,12.543803419,6.219017094,17.8717948715,17.079059829,10.854700854499999,9.091880342,1.9369658115
2008,2008020851,21,Colorado Avalanche (COL),9,Ottawa Senators (OTT),28.8444444445,14.55515873,4.3234126985,13.9757936505,20.267460317500003,10.458730159,8.302380952,2.3515873015,28.713095238,12.858730159,4.184126984,14.576984127,21.040079364999997,9.640873016,8.772222222,2.208730159
2003,2003020595,19,St Louis Blues (STL),30,Minnesota Wild (MIN),28.339097744500002,11.254135338,3.9729323305,15.7,15.220300751499998,11.185338346,5.2263157895,2.504887218,24.7868421055,12.060526316,4.482330827,13.968421052499998,12.0191729325,11.962406015,5.9436090225000004,2.4278195485
2010,2010020847,27,Phoenix Coyotes (PHX),15,Washington Capitals (WSH),29.8974358975,14.5053418805,3.9145299145,12.491452991500001,21.598290598,7.166666667,5.993589743499999,2.4391025639999997,33.0491452995,14.3076923075,3.885683761,12.232905983,22.307692307499998,7.7457264955,7.088675214,2.5726495729999996
2011,2011020987,15,Washington Capitals (WSH),12,Carolina Hurricanes (CAR),30.190277778000002,14.9,3.4013888889999997,11.347222222,20.6083333335,7.35,7.25,2.572222222,29.7375,14.577777778,3.8916666665,9.698611111,21.159722222,7.781944444500001,7.151388889,2.476388889
2005,2005021006,1,New Jersey Devils (NJD),9,Ottawa Senators (OTT),29.7470760235,13.282894737,6.5438596495,15.165935672500002,16.3976608185,10.5789473685,7.3114035085,2.3494152049999997,31.6461988305,13.951023392,5.720760234,17.991959064,16.7090643275,9.927631579,8.1381578945,1.975877193
2013,2013020705,30,Minnesota Wild (MIN),9,Ottawa Senators (OTT),30.904761905,14.0595238095,3.6071428570000004,10.8571428575,20.8809523805,7.154761904499999,7.380952381,2.630952381,30.214285714,12.964285713999999,3.416666667,11.619047619,26.3095238095,7.9523809525,6.5,2.619047619
2011,2011020633,3,NY Rangers Rangers (NYR),9,Ottawa Senators (OTT),29.4970760235,15.580409357,4.0087719295,13.426169590499999,23.3728070175,6.900584795,7.807017544000001,2.316520468,30.600146199,13.1754385965,3.5285087720000003,15.1396198835,23.484649123,8.7288011695,7.5241228069999995,2.3092105265000002
2009,2009020686,19,St Louis Blues (STL),29,Columbus Blue Jackets (CBJ),29.812382739500002,12.7839274545,3.9315196995,13.749843652500001,21.90275172,6.6347717325,6.1988742965,2.3617886175000002,30.3348968105,12.957473420500001,3.953721076,13.9743589745,21.888993121,6.187304565,5.700750469,2.1957473425
2014,2014021207,13,Florida Panthers (FLA),6,Boston Bruins (BOS),30.4702702705,13.554826255,3.1111969110000004,8.6015444015,26.389961390000003,6.8181467179999995,6.153667953999999,2.5393822395,30.3718146715,12.6718146715,2.8764478765,9.553281853000001,26.240926641,6.6023166025,5.27992278,2.492277992
2011,2011021067,30,Minnesota Wild (MIN),12,Carolina Hurricanes (CAR),29.0,16.125,3.3625,12.4,20.6125,6.800000000000001,6.775,2.5125,30.8375,13.3875,3.8875,11.375,20.8,7.4875,6.4,2.5
2010,2010020972,24,Anaheim Ducks (ANA),25,Dallas Stars (DAL),29.975657894500003,13.984868421,3.6342105265,15.114473684,25.4611842105,7.6013157895,5.6342105265,2.6105263159999996,30.870394736999998,12.651973684,4.025,14.5559210525,24.264473684000002,8.9638157895,7.1539473685,2.3960526315
