Season,team_id,Team,Shots,Blocked Shots,Power Play Opportunities,PIM,Player Hits,Injured Players,Giveaways,Takeaways
2013,4,Philadelphia Flyers (PHI),6.433821732,4.315649581,1.315330554,16.486325254,6.853685829,0.160128154,3.571328319,2.307647323
2015,18,Nashville Predators (NSH),7.451746676,5.093274138,1.528507879,11.973318686,6.976365076,0.518429136,3.861918489,2.675660509
2017,22,Edmonton Oilers (EDM),6.767475140,5.330873069,1.408165579,7.560142924,7.701074171,0.342569987,5.789822827,3.415303189
2015,17,Detroit Red Wings (DET),5.920586357,4.754349659,1.464613417,4.124744054,6.503145098,0.388307045,3.642252441,2.110901057
2014,53,Arizona Coyotes (ARI),6.131883887,4.743583804,1.653039528,5.932691244,9.067997101,0.467176592,4.614332399,2.804191874
2018,2,NY Islanders Islanders (NYI),6.485348407,4.559157542,1.355668779,8.415803396,7.818395713,0.369537021,4.973972084,5.050315822
2011,17,Detroit Red Wings (DET),5.899177934,4.246708671,1.479083394,4.302035275,6.392798125,0.728031613,3.362708404,3.079038889
2008,23,Vancouver Canucks (VAN),5.958665111,4.001155594,1.730818470,10.580720006,4.906595555,0.392859452,4.402330302,3.943051219
2003,6,Boston Bruins (BOS),8.067857657,4.081321293,1.431459183,9.728497828,6.245111887,0.789781827,4.700186129,4.017033434
2014,23,Vancouver Canucks (VAN),7.438261295,5.646892505,1.622841165,6.069900945,5.557642932,0.502096445,4.017399134,3.043659893
2008,3,NY Rangers Rangers (NYR),6.758410565,3.824242580,2.063106943,6.641788940,12.189628564,0.536143071,3.357268988,4.320806143
2008,19,St Louis Blues (STL),5.580693877,4.448065342,1.707165608,9.426975542,6.199389682,0.912870929,3.560080642,2.909289254
2003,10,Toronto Maple Leafs (TOR),6.598040573,3.742417654,2.033852898,12.982206884,8.019003035,1.769827727,6.262228436,4.389305508
2003,20,Calgary Flames (CGY),7.757891076,4.306922316,1.577147729,9.265005998,5.571837951,0.731063459,7.011634988,3.254731527
2003,3,NY Rangers Rangers (NYR),5.867315981,4.662838566,1.698739028,14.538181804,5.592228167,0.696362431,5.681772583,3.755525030
2017,2,NY Islanders Islanders (NYI),6.347679093,4.564770159,1.366381564,3.775717881,6.284619624,0.273276313,4.846505978,3.926059125
2011,15,Washington Capitals (WSH),7.463987615,4.292019172,1.443925426,5.019643951,9.009122361,0.467176592,4.038210353,5.234500931
2018,5,Pittsburgh Penguins (PIT),5.211064736,5.583738680,1.217838620,4.704349496,9.266485110,0.640512615,4.497562693,3.623658950
2011,13,Florida Panthers (FLA),6.780022533,3.803868660,1.903055864,6.863482853,7.131412290,0.763685010,3.068214506,3.114231089
2011,25,Dallas Stars (DAL),5.577377776,5.372696996,1.635664032,9.773141036,8.640023148,0.421637021,3.982003165,3.986783722
2010,28,San Jose Sharks (SJS),5.534837296,3.657160400,1.781044494,10.246742535,7.412505292,0.774780288,5.032539919,3.295434145
2015,19,St Louis Blues (STL),5.385164807,3.919913519,1.422775983,5.598582817,8.618155521,0.409073869,4.525829306,3.094551391
2010,19,St Louis Blues (STL),7.810656132,4.717747647,1.997418969,12.554895333,6.546536707,0.826159599,2.956832282,3.033150178
2017,1,New Jersey Devils (NJD),7.046684399,5.381597641,1.335583687,6.211138071,7.172533354,0.434140475,4.240628526,4.004265151
2011,4,Philadelphia Flyers (PHI),6.465230572,5.168586433,1.793285537,8.543260595,5.550561247,0.478091444,3.333333333,2.817744229
2009,26,Los Angeles Kings (LAK),5.825672625,4.069587014,1.510433797,8.613644513,7.030884250,0.464095481,6.017921952,2.766095091
2006,20,Calgary Flames (CGY),6.299659855,4.108353859,2.269710841,6.076431179,4.246754129,0.810643483,6.254141485,4.630814663
2005,7,Buffalo Sabres (BUF),5.547001962,4.492909393,1.880362328,5.442497839,4.400036805,0.655095258,4.290717470,4.202049497
2016,13,Florida Panthers (FLA),6.879922480,4.795831523,1.425844674,3.912519368,6.810718456,0.494716833,4.191368221,4.079907554
2013,25,Dallas Stars (DAL),7.073079209,4.954774125,1.263617152,7.598382698,7.268523695,0.554305532,4.764436772,4.331974474
2018,52,Winnipeg Jets (WPG),6.680899932,4.994520468,1.473569900,10.237576171,4.671879497,0.506009406,4.313876515,3.775717881
2009,23,Vancouver Canucks (VAN),6.151922776,3.673798426,1.375378736,11.834218096,4.602048039,0.784464541,3.157307357,2.158911169
2003,29,Columbus Blue Jackets (CBJ),6.127222629,4.385763404,2.368275778,9.006302908,4.551294949,0.814550222,4.652359019,3.446069765
2010,1,New Jersey Devils (NJD),5.954154176,4.639560919,1.003746735,8.245482884,6.666441438,1.177236546,4.792386354,3.369399480
2005,5,Pittsburgh Penguins (PIT),5.949487070,4.920387201,2.629527413,8.122744547,3.907142916,0.796011076,4.047948355,3.367616493
2014,17,Detroit Red Wings (DET),6.317547895,4.655553047,1.157946821,3.403098747,5.052279241,0.164398987,3.621963365,2.622380002
2011,23,Vancouver Canucks (VAN),5.594398743,4.319478526,2.141674808,8.948763593,6.292084485,0.642275471,3.934835486,3.030546242
2009,16,Chicago Blackhawks (CHI),7.188609974,4.320806143,1.485875924,5.819484235,5.392427339,0.755546294,3.366501646,4.901458099
2008,20,Calgary Flames (CGY),5.934296337,3.233750587,2.108749724,9.121881942,7.794788654,0.439155033,4.250396807,3.973323746
2017,23,Vancouver Canucks (VAN),6.727288477,4.297788403,1.549454651,7.902236654,5.355134255,0.529812943,3.493970129,3.082097538
2013,8,Montreal Canadiens (MTL),5.948443020,5.745901549,1.646869602,8.326510027,5.418628836,0.699816826,3.658148614,2.494994990
2011,22,Edmonton Oilers (EDM),5.401312264,6.028336490,1.554321690,7.872100734,6.122743502,0.502247202,6.405820364,3.159189846
2009,11,Atlanta Thrashers (ATL),6.703776606,4.295275627,1.752191610,8.009441123,6.175568947,0.683327573,5.454015841,6.219446235
2005,12,Carolina Hurricanes (CAR),6.087080791,4.712770969,2.573542913,8.296042691,5.289657879,0.607757657,3.265986324,2.945195100
2016,17,Detroit Red Wings (DET),6.395434880,3.637983045,1.482972134,6.783500056,5.307676382,0.598940864,3.166791977,2.623459487
2013,1,New Jersey Devils (NJD),7.080805383,5.108338473,1.417658668,3.874400032,7.131602632,0.441726104,3.854835418,3.317360102
2018,6,Boston Bruins (BOS),6.329461136,4.962205334,1.519553170,10.879042984,6.380427223,0.756438848,4.743203106,4.109007255
2014,5,Pittsburgh Penguins (PIT),6.550112079,4.283875267,1.585649934,12.168232124,7.964753705,0.652224521,3.782478401,2.394935132
2017,7,Buffalo Sabres (BUF),5.994544699,5.411646468,1.077706326,3.907901322,5.683696832,0.436590958,3.584382117,2.872962201
2014,2,NY Islanders Islanders (NYI),7.185968142,5.289374016,1.697463219,5.894722025,9.245240639,0.287371854,5.713111205,5.474894928
2015,13,Florida Panthers (FLA),6.618746695,4.730737773,1.676995025,4.583394758,6.772027788,0.474578998,3.586134459,2.682665968
2018,53,Arizona Coyotes (ARI),7.103058587,5.182629557,1.445827913,4.739502926,6.099158146,0.543641940,3.879424252,3.780945194
2008,25,Dallas Stars (DAL),5.088626303,4.074309757,1.268228434,13.072069140,8.011546290,0.562108874,5.060474618,4.131656839
2015,10,Toronto Maple Leafs (TOR),7.048753126,4.580410323,1.443925426,3.729228185,6.950334010,0.368394199,3.867959554,4.260188534
2003,8,Montreal Canadiens (MTL),6.914484766,4.543765366,1.894252744,8.239480987,6.056631741,0.601680908,6.332029264,3.665319378
2016,9,Ottawa Senators (OTT),6.369321311,5.446638690,1.470071805,7.914824347,7.175354645,0.708228284,3.975719961,2.423430600
2008,7,Buffalo Sabres (BUF),5.522000769,4.550847197,2.243442229,13.389801596,5.624645468,0.397061277,6.117100532,3.763464317
2009,5,Pittsburgh Penguins (PIT),5.983412029,4.511367755,1.661618371,8.843007435,7.588662918,0.569552670,3.794411809,2.974484993
2018,14,Tampa Bay Lightning (TBL),7.185323924,4.898704007,1.483148709,5.925766605,7.417563139,0,3.725572713,2.959921216
2003,23,Vancouver Canucks (VAN),5.931161664,3.459330422,2.108185107,8.791973544,6.651559459,0.789381481,7.702326001,4.913974679
