Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2003,27,Phoenix Coyotes (PHX),6.500305243,3.953298803,2.062515031,8.563859092,5.064034404,6.496091621,5.489600558,0.810153816
2018,16,Chicago Blackhawks (CHI),7.430408845,5.059523741,1.330230129,3.605382156,6.370951608,6.599334778,4.134477287,0.627616474
2009,4,Philadelphia Flyers (PHI),5.901462569,5.543473141,1.667745939,9.994195346,6.838211287,2.919523374,4.179184974,0.832050294
2014,22,Edmonton Oilers (EDM),6.500057750,4.711815064,1.641704966,5.525398631,8.140932058,3.950709823,3.098241291,0.474578998
2017,1,New Jersey Devils (NJD),6.760324805,4.852885520,1.623309932,5.839057680,9.852720559,4.551038210,3.345024542,0.574468646
2017,12,Carolina Hurricanes (CAR),6.382764844,4.844451006,1.623090847,4.918467536,7.208389691,5.087918359,5.683696832,0.488851530
2018,24,Anaheim Ducks (ANA),7.091164600,5.793674712,1.280024038,4.002483204,8.619596040,4.482944888,5.261373517,0.585618236
2015,19,St Louis Blues (STL),6.799618946,4.198675969,1.575795324,4.967234070,9.228615358,4.723244842,2.860687988,0.559544831
2017,10,Toronto Maple Leafs (TOR),6.619657982,4.927942307,1.517208976,5.909358072,7.505724311,5.240620437,4.798437246,0.552384110
2013,19,St Louis Blues (STL),4.917675850,6.139516041,1.699011382,11.814239219,8.980936475,6.311418866,3.302148321,0.569110393
2003,25,Dallas Stars (DAL),5.971482728,4.566250115,1.857857865,7.292750546,5.398487750,13.277002867,5.833451872,0.759950586
2010,23,Vancouver Canucks (VAN),7.463975105,5.031330412,1.454058360,7.463975105,6.805459993,5.450310299,3.374396927,0.654653671
2018,7,Buffalo Sabres (BUF),6.463110309,3.028814611,1.403064412,5.262287209,8.351224384,4.409779342,4.279872392,0.516397779
2013,14,Tampa Bay Lightning (TBL),6.201845531,4.856788451,1.312248948,6.708002754,6.746219014,3.582458387,3.834286685,0.548584241
2015,26,Los Angeles Kings (LAK),7.219627128,3.974522034,1.713392625,6.890757555,6.946679006,3.957712984,3.928730156,0.639320075
2013,22,Edmonton Oilers (EDM),7.173630574,5.452567084,1.657944658,11.774559181,8.232890611,5.139160983,3.231891389,0.637257845
2015,28,San Jose Sharks (SJS),5.147044151,5.698997406,1.588400413,8.239278748,6.915590852,3.858200913,2.801785145,0.606839327
2003,12,Carolina Hurricanes (CAR),6.137058910,5.907756537,2.171240593,14.770277963,6.559374728,6.285470775,3.228223749,0.734630887
2003,5,Pittsburgh Penguins (PIT),7.169128008,3.157763682,1.888800563,12.449115651,5.714819259,6.634154958,3.633139097,0.688821076
2009,25,Dallas Stars (DAL),4.587138036,5.061697613,1.427510692,9.011688317,7.835436304,4.648073622,3.030434913,0.787897662
2017,30,Minnesota Wild (MIN),6.237213641,4.172559935,1.503482238,3.291095417,5.566794749,5.532141393,3.990880292,0.633095346
2013,15,Washington Capitals (WSH),6.165193864,4.629822503,1.547330207,15.790109693,6.058211211,4.028663327,3.371733937,0.655841601
2009,18,Nashville Predators (NSH),5.681673192,3.755252731,1.515729493,5.540006017,4.299001077,3.781788344,4.007684925,0.733362470
2008,6,Boston Bruins (BOS),4.333679820,5.024116016,1.341752697,12.273717617,8.467567520,5.399922144,3.888266789,0.731118687
2003,10,Toronto Maple Leafs (TOR),6.181696472,3.725369563,1.865498686,13.904086201,8.553280422,7.311597600,5.253191132,1.636401353
2016,14,Tampa Bay Lightning (TBL),5.767648201,4.651842607,1.604704046,7.498648527,5.794918557,3.407067377,3.085371861,0.502247202
