Season,team_id,Team,Shots,Shots Blocked,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2013,7,Buffalo Sabres (BUF),34.820512821,12.410256410,3.153846154,11.641025641,19.230769231,7.410256410,5.641025641,2.666666667
2008,13,Florida Panthers (FLA),34.648648649,12.945945946,4.351351351,11.675675676,20.810810811,7.540540541,6.270270270,2.405405405
2014,8,Montreal Canadiens (MTL),30.378378378,15.972972973,3.486486486,8.837837838,24.675675676,9.648648649,5.675675676,2.621621622
2005,7,Buffalo Sabres (BUF),30.102564103,12.153846154,5.358974359,15,14.025641026,9.846153846,5.820512821,2.128205128
2003,15,Washington Capitals (WSH),30.324324324,11,4.243243243,13.756756757,14.972972973,12.351351351,6.864864865,2.702702703
2005,29,Columbus Blue Jackets (CBJ),32.026315789,13.236842105,6.947368421,16.421052632,11.763157895,7.868421053,6.526315789,2.315789474
2018,14,Tampa Bay Lightning (TBL),32.384615385,14.384615385,3.282051282,9.435897436,21.128205128,9,7.974358974,2.769230769
2014,26,Los Angeles Kings (LAK),28.5,15.368421053,3.315789474,10.473684211,26.657894737,8.631578947,5.657894737,2.631578947
2014,5,Pittsburgh Penguins (PIT),30.333333333,13.305555556,3.805555556,13.333333333,27.472222222,5.75,5.666666667,2.472222222
2016,1,New Jersey Devils (NJD),31.810810811,11.756756757,3.054054054,10.243243243,21.324324324,6.810810811,6.675675676,2.459459459
2014,16,Chicago Blackhawks (CHI),28.810810811,17,2.837837838,10.432432432,26.081081081,7.243243243,6.648648649,2.648648649
2005,8,Montreal Canadiens (MTL),29.388888889,14.416666667,6.527777778,15.194444444,19.166666667,13.638888889,12.527777778,2.222222222
2015,53,Arizona Coyotes (ARI),30.527777778,13.361111111,3.638888889,10.055555556,25.194444444,6.777777778,5.694444444,2.444444444
2016,15,Washington Capitals (WSH),28.114285714,15,3.485714286,8.914285714,21,9.971428571,9.371428571,2.657142857
2015,6,Boston Bruins (BOS),29.111111111,13.194444444,3.527777778,11.666666667,24.75,10.333333333,7.388888889,2.638888889
2008,25,Dallas Stars (DAL),27.685714286,11.314285714,4.028571429,16.8,23.771428571,9.942857143,8.057142857,2.371428571
2006,19,St Louis Blues (STL),29.973684211,12.868421053,5.736842105,14.052631579,14.710526316,11.052631579,6.131578947,2.236842105
2018,23,Vancouver Canucks (VAN),30.880952381,12.309523810,3.428571429,9.309523810,22.523809524,8.357142857,6.880952381,2.5
2008,8,Montreal Canadiens (MTL),29.777777778,15.972222222,4.694444444,13.888888889,21.833333333,11.166666667,7.277777778,2.388888889
2008,26,Los Angeles Kings (LAK),26.162162162,13.378378378,4.351351351,13.702702703,24.081081081,11.945945946,4.918918919,2.459459459
