team_id,team,game_id,type,season,date_time_GMT,HoA,won,goals,shots,hits,pim,powerPlayOpportunities,injured_player_count,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked
28,San Jose Sharks (SJS),2001020090,R,2001,October,away,False,1,25,,21,4,,0,,,,
30,Minnesota Wild (MIN),2016020216,R,2016,November,away,False,2,27,28,6,2,3,0,51.8,4,3,14
22,Edmonton Oilers (EDM),2003020457,R,2003,December,away,False,2,24,9,10,2,3,0,,10,2,18
20,Calgary Flames (CGY),2010020093,R,2010,October,away,True,6,23,30,13,6,3,0,39.1,1,7,13
28,San Jose Sharks (SJS),2007020567,R,2007,December,away,True,5,29,14,12,3,,1,,7,12,9
24,Anaheim Ducks (ANA),2006020456,R,2006,December,away,True,2,32,21,26,5,3,1,,3,4,9
17,Detroit Red Wings (DET),2008020409,R,2008,December,home,True,4,39,23,10,5,1,0,,6,2,12
1,New Jersey Devils (NJD),2001020183,R,2001,November,home,True,5,32,,4,3,,2,,,,
4,Philadelphia Flyers (PHI),2010020019,R,2010,October,away,False,1,30,13,41,5,3,0,43.1,6,6,15
20,Calgary Flames (CGY),2013020121,R,2013,October,away,False,3,19,18,20,6,3,1,42.9,12,5,23
22,Edmonton Oilers (EDM),2013020170,R,2013,October,away,False,1,18,30,20,4,3,1,47.2,15,4,18
9,Ottawa Senators (OTT),2005020544,R,2005,December,home,True,6,36,28,50,7,1,1,,10,10,17
23,Vancouver Canucks (VAN),2014020163,R,2014,November,away,True,3,30,28,6,3,3,0,53.2,9,5,11
10,Toronto Maple Leafs (TOR),2011020011,R,2011,October,home,True,6,35,14,28,9,3,2,53.4,6,10,16
21,Colorado Avalanche (COL),2005020215,R,2005,November,home,False,2,29,22,19,6,2,1,,6,13,29
25,Dallas Stars (DAL),2009020090,R,2009,October,home,False,0,27,31,2,3,3,0,,10,11,16
4,Philadelphia Flyers (PHI),2010020255,R,2010,November,away,False,0,41,38,45,6,2,0,56.2,4,6,9
3,NY Rangers Rangers (NYR),2013020044,R,2013,October,away,False,2,20,25,6,3,2,1,47.7,10,5,22
10,Toronto Maple Leafs (TOR),2010020049,R,2010,October,away,True,4,38,29,17,7,1,1,62.7,6,5,7
8,Montreal Canadiens (MTL),2013020157,R,2013,October,home,False,0,22,15,8,1,1,0,49.2,12,1,18
5,Pittsburgh Penguins (PIT),2015020051,R,2015,October,home,True,2,36,23,11,3,3,0,47.6,6,8,16
1,New Jersey Devils (NJD),2000020312,R,2000,November,away,True,5,33,,12,3,,1,,,,
3,NY Rangers Rangers (NYR),2006020294,R,2006,November,home,True,4,34,21,12,4,2,2,,12,9,17
29,Columbus Blue Jackets (CBJ),2013020356,R,2013,November,away,True,6,22,43,12,4,3,2,53.8,10,6,20
52,Winnipeg Jets (WPG),2011020397,R,2011,December,home,True,2,35,20,8,3,2,0,50.8,5,1,22
28,San Jose Sharks (SJS),2001020224,R,2001,November,away,False,2,29,,14,3,,0,,,,
23,Vancouver Canucks (VAN),2007020340,R,2007,November,home,True,2,29,5,22,9,,1,,2,9,12
26,Los Angeles Kings (LAK),2013020334,R,2013,November,home,False,1,35,38,11,4,3,0,57.6,15,0,9
2,NY Islanders Islanders (NYI),2008020398,R,2008,December,away,False,2,28,29,13,3,2,1,,13,11,21
27,Phoenix Coyotes (PHX),2002020062,R,2002,October,away,True,3,28,2,24,7,,1,,0,0,0
9,Ottawa Senators (OTT),2016020326,R,2016,November,away,True,2,20,18,10,2,2,1,45.5,7,5,23
9,Ottawa Senators (OTT),2014020037,R,2014,October,away,True,1,23,35,8,5,3,1,52.9,4,11,13
6,Boston Bruins (BOS),2017020250,R,2017,November,home,False,1,39,30,13,4,2,0,54.8,7,15,16
6,Boston Bruins (BOS),2015020541,R,2015,December,home,True,7,37,28,52,7,3,4,52.9,13,8,19
19,St Louis Blues (STL),2013020070,R,2013,October,home,True,5,34,16,14,6,3,2,56.7,2,2,13
29,Columbus Blue Jackets (CBJ),2018020297,R,2018,November,away,True,4,24,30,6,5,3,1,46.2,9,6,19
1,New Jersey Devils (NJD),2016020215,R,2016,November,home,True,4,27,18,6,5,2,0,51.7,8,1,11
8,Montreal Canadiens (MTL),2018020421,R,2018,December,home,True,5,41,33,15,2,3,0,46.2,13,12,10
25,Dallas Stars (DAL),2008020093,R,2008,October,away,True,5,29,23,12,6,3,2,,3,7,18
17,Detroit Red Wings (DET),2000020149,R,2000,October,home,True,4,36,,14,5,,1,,,,
23,Vancouver Canucks (VAN),2009020223,R,2009,November,away,False,1,33,27,6,2,2,0,,13,10,10
9,Ottawa Senators (OTT),2010020145,R,2010,October,home,False,0,29,26,13,3,2,0,47.1,10,8,10
11,Atlanta Thrashers (ATL),2008020431,R,2008,December,away,False,2,22,17,19,2,3,0,,3,2,11
2,NY Islanders Islanders (NYI),2013020264,R,2013,November,home,True,3,33,15,9,5,3,1,36.7,11,11,16
18,Nashville Predators (NSH),2001020454,R,2001,December,home,False,1,24,,14,2,,0,,,,
52,Winnipeg Jets (WPG),2016020523,R,2016,December,away,True,3,34,32,6,1,5,0,51.6,12,12,18
19,St Louis Blues (STL),2001020425,R,2001,December,away,False,1,23,,10,3,,0,,,,
25,Dallas Stars (DAL),2005020352,R,2005,November,away,True,3,32,11,20,12,2,2,,1,3,10
29,Columbus Blue Jackets (CBJ),2003020206,R,2003,November,home,True,4,28,21,15,8,3,3,,5,6,7
7,Buffalo Sabres (BUF),2003020429,R,2003,December,home,False,1,20,12,12,5,2,1,,11,1,10
24,Anaheim Ducks (ANA),2009020178,R,2009,October,home,True,7,34,25,8,2,3,2,,15,9,7
26,Los Angeles Kings (LAK),2011020108,R,2011,October,home,True,1,24,32,11,1,3,0,41.3,12,5,11
30,Minnesota Wild (MIN),2009020029,R,2009,October,home,True,4,32,16,13,5,2,3,,17,7,8
16,Chicago Blackhawks (CHI),2008020453,R,2008,December,away,True,9,44,8,11,5,1,4,,10,6,12
25,Dallas Stars (DAL),2005020203,R,2005,November,home,True,9,40,14,37,12,2,3,,16,8,13
29,Columbus Blue Jackets (CBJ),2005020167,R,2005,October,away,False,1,16,11,16,9,2,1,,16,10,9
21,Colorado Avalanche (COL),2014020491,R,2014,December,away,True,1,23,31,8,2,2,1,43.9,8,4,20
20,Calgary Flames (CGY),2018020477,R,2018,December,home,True,6,41,9,8,6,2,1,57.4,16,13,12
5,Pittsburgh Penguins (PIT),2000020402,R,2000,December,home,False,2,29,,8,2,,1,,,,
2,NY Islanders Islanders (NYI),2008020446,R,2008,December,home,False,4,39,28,11,5,2,2,,13,12,16
6,Boston Bruins (BOS),2002020254,R,2002,November,away,False,2,34,0,6,2,,2,,0,0,0
16,Chicago Blackhawks (CHI),2005020051,R,2005,October,away,False,1,33,20,14,6,3,1,,13,4,11
30,Minnesota Wild (MIN),2002020419,R,2002,December,home,True,5,24,2,10,3,,1,,0,0,0
13,Florida Panthers (FLA),2013020291,R,2013,November,away,False,2,24,14,6,3,3,0,48.1,2,7,8
17,Detroit Red Wings (DET),2000020276,R,2000,November,home,False,0,33,,6,3,,0,,,,
12,Carolina Hurricanes (CAR),2014020160,R,2014,November,home,True,3,35,24,10,2,2,1,46.4,6,15,14
4,Philadelphia Flyers (PHI),2018020134,R,2018,October,away,False,0,26,17,26,3,3,0,59.6,9,13,14
4,Philadelphia Flyers (PHI),2017020157,R,2017,October,away,True,4,30,32,6,1,2,1,47.7,15,5,15
18,Nashville Predators (NSH),2017020329,R,2017,November,home,True,2,33,24,12,4,2,2,59.4,17,7,12
24,Anaheim Ducks (ANA),2005020502,R,2005,December,home,True,6,36,6,38,7,2,1,,5,5,5
18,Nashville Predators (NSH),2002020298,R,2002,November,away,False,2,34,2,8,6,,1,,0,0,0
23,Vancouver Canucks (VAN),2006020082,R,2006,October,away,False,1,22,14,18,6,2,1,,10,9,9
29,Columbus Blue Jackets (CBJ),2007020344,R,2007,November,away,False,1,37,12,6,7,,1,,10,8,11
27,Phoenix Coyotes (PHX),2006020030,R,2006,October,home,False,1,35,30,22,6,2,1,,7,2,4
20,Calgary Flames (CGY),2002020370,R,2002,December,away,True,2,32,9,15,2,,1,,0,0,0
4,Philadelphia Flyers (PHI),2000020431,R,2000,December,home,True,5,40,,10,3,,1,,,,
25,Dallas Stars (DAL),2001020148,R,2001,October,away,True,5,45,,12,7,,3,,,,
12,Carolina Hurricanes (CAR),2013020287,R,2013,November,home,True,2,23,28,6,3,3,1,55.9,10,11,6
27,Phoenix Coyotes (PHX),2002020281,R,2002,November,home,False,2,30,6,10,4,,1,,0,0,0
29,Columbus Blue Jackets (CBJ),2001020071,R,2001,October,away,False,2,23,,12,8,,2,,,,
15,Washington Capitals (WSH),2009020560,R,2009,December,home,True,4,40,23,8,2,2,0,,11,9,15
3,NY Rangers Rangers (NYR),2003020024,R,2003,October,away,False,0,25,13,31,3,3,0,,3,5,6
14,Tampa Bay Lightning (TBL),2005020163,R,2005,October,away,True,3,23,6,17,5,3,1,,5,12,14
19,St Louis Blues (STL),2001020185,R,2001,November,home,True,4,33,,12,6,,2,,,,
16,Chicago Blackhawks (CHI),2016020474,R,2016,December,home,True,4,26,21,4,2,3,0,50,14,9,19
15,Washington Capitals (WSH),2017020440,R,2017,December,home,True,4,40,21,6,4,2,0,63,7,9,15
9,Ottawa Senators (OTT),2015020283,R,2015,November,home,True,3,29,34,17,5,3,1,55.4,11,5,17
18,Nashville Predators (NSH),2015020309,R,2015,November,away,False,0,31,24,20,5,3,0,47.2,7,8,14
3,NY Rangers Rangers (NYR),2003020057,R,2003,October,home,False,2,28,13,12,4,2,0,,9,11,15
13,Florida Panthers (FLA),2009020396,R,2009,December,home,True,5,44,21,21,7,2,3,,4,4,12
14,Tampa Bay Lightning (TBL),2015020372,R,2015,December,away,True,2,22,24,8,4,2,1,47.6,12,7,18
18,Nashville Predators (NSH),2010020133,R,2010,October,home,False,0,24,19,23,3,1,0,56,13,10,13
3,NY Rangers Rangers (NYR),2018020189,R,2018,November,away,True,2,24,14,6,3,2,1,43.8,13,3,13
7,Buffalo Sabres (BUF),2011020500,R,2011,December,away,False,2,42,25,14,6,3,1,43.9,10,13,18
21,Colorado Avalanche (COL),2002020518,R,2002,December,away,False,2,20,3,12,6,,1,,0,0,0
25,Dallas Stars (DAL),2017020193,R,2017,November,away,False,2,23,21,18,0,3,0,49.3,8,3,13
14,Tampa Bay Lightning (TBL),2015020114,R,2015,October,away,False,0,21,28,6,4,3,0,44.4,4,8,22
16,Chicago Blackhawks (CHI),2011020378,R,2011,December,away,True,5,36,12,14,3,3,2,46.4,2,6,17
27,Phoenix Coyotes (PHX),2013020164,R,2013,October,home,True,5,28,26,4,6,3,2,56.7,3,7,9
20,Calgary Flames (CGY),2006020491,R,2006,December,away,False,1,28,11,15,5,3,0,,3,3,6
1,New Jersey Devils (NJD),2001020166,R,2001,October,away,True,4,18,,10,3,,0,,,,
11,Atlanta Thrashers (ATL),2001020146,R,2001,October,home,True,1,21,,16,2,,1,,,,
2,NY Islanders Islanders (NYI),2007020454,R,2007,December,home,True,3,33,20,16,3,,1,,20,18,21
20,Calgary Flames (CGY),2009020004,R,2009,October,home,True,5,23,24,12,3,2,2,,9,10,15
10,Toronto Maple Leafs (TOR),2002020200,R,2002,November,away,False,1,23,0,8,2,,0,,0,0,0
2,NY Islanders Islanders (NYI),2017020350,R,2017,November,away,True,2,24,12,12,5,3,1,48.1,11,5,13
10,Toronto Maple Leafs (TOR),2013020156,R,2013,October,home,True,4,30,46,13,3,2,1,52.9,13,8,12
53,Arizona Coyotes (ARI),2017020011,R,2017,October,away,False,4,30,18,8,4,3,2,42.9,14,5,11
15,Washington Capitals (WSH),2007020412,R,2007,December,away,False,2,24,11,10,4,,0,,8,3,11
23,Vancouver Canucks (VAN),2001020118,R,2001,October,away,False,1,33,,8,6,,1,,,,
3,NY Rangers Rangers (NYR),2007020407,R,2007,December,home,False,2,25,40,15,3,,2,,14,7,9
4,Philadelphia Flyers (PHI),2013020346,R,2013,November,home,True,5,30,21,6,3,3,1,57.4,9,9,18
13,Florida Panthers (FLA),2008020315,R,2008,November,home,False,2,38,28,8,5,2,0,,4,2,9
25,Dallas Stars (DAL),2002020053,R,2002,October,away,False,1,34,0,4,5,,1,,0,0,0
23,Vancouver Canucks (VAN),2005020534,R,2005,December,home,False,1,17,26,27,4,3,0,,8,6,8
6,Boston Bruins (BOS),2006020267,R,2006,November,home,True,2,36,14,4,4,2,1,,5,7,15
19,St Louis Blues (STL),2009020008,R,2009,October,away,True,4,23,35,10,4,4,1,,13,10,20
2,NY Islanders Islanders (NYI),2016020126,R,2016,October,home,True,5,35,19,12,2,3,0,47.6,8,4,22
3,NY Rangers Rangers (NYR),2016020277,R,2016,November,away,True,5,36,35,8,1,3,0,51.9,3,10,16
11,Atlanta Thrashers (ATL),2000020331,R,2000,November,home,True,2,26,,4,3,,0,,,,
22,Edmonton Oilers (EDM),2018020057,R,2018,October,away,True,2,27,31,4,4,3,1,47.3,10,6,14
10,Toronto Maple Leafs (TOR),2014020392,R,2014,December,home,True,5,28,41,12,3,2,0,50.8,21,10,24
24,Anaheim Ducks (ANA),2009020202,R,2009,November,home,False,3,29,26,14,2,2,0,,7,5,18
14,Tampa Bay Lightning (TBL),2005020559,R,2005,December,home,False,1,32,17,8,5,1,0,,9,16,12
52,Winnipeg Jets (WPG),2017020409,R,2017,December,home,True,5,49,15,6,5,3,3,54,11,5,18
19,St Louis Blues (STL),2018020155,R,2018,October,home,True,7,37,15,7,5,2,2,57.1,4,8,19
26,Los Angeles Kings (LAK),2006020272,R,2006,November,home,False,3,26,13,8,4,2,0,,9,2,14
20,Calgary Flames (CGY),2017020453,R,2017,December,home,True,4,35,13,8,4,3,0,51.7,17,8,8
54,Vegas Golden Knights (VGK),2017020568,R,2017,December,away,True,4,28,21,4,2,2,0,49.1,12,10,18
26,Los Angeles Kings (LAK),2011020009,R,2011,October,home,True,3,30,26,7,5,4,1,43.3,10,5,16
3,NY Rangers Rangers (NYR),2008020314,R,2008,November,away,True,2,35,11,24,6,3,1,,10,3,8
18,Nashville Predators (NSH),2008020501,R,2008,December,away,False,0,27,21,10,2,1,0,,2,4,8
6,Boston Bruins (BOS),2014020093,R,2014,October,home,False,2,32,24,2,1,1,0,60,10,5,4
21,Colorado Avalanche (COL),2015020446,R,2015,December,away,True,3,18,31,2,2,2,0,38.8,5,5,18
2,NY Islanders Islanders (NYI),2013020512,R,2013,December,home,False,2,34,28,7,2,3,1,57.6,13,21,27
9,Ottawa Senators (OTT),2001020556,R,2001,December,home,True,5,38,,12,8,,2,,,,
23,Vancouver Canucks (VAN),2018020504,R,2018,December,home,True,5,24,27,8,2,3,0,55.8,13,4,13
28,San Jose Sharks (SJS),2018020440,R,2018,December,away,False,2,43,14,4,2,3,0,51.9,20,8,9
5,Pittsburgh Penguins (PIT),2018020081,R,2018,October,home,False,2,28,34,2,1,3,0,61.1,6,4,12
13,Florida Panthers (FLA),2000020048,R,2000,October,home,False,2,28,,9,5,,1,,,,
29,Columbus Blue Jackets (CBJ),2013020049,R,2013,October,away,True,4,33,18,17,4,3,0,56,6,4,14
