Season,team_id,Team,Shots,Blocked Shots,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players
2011,13,Florida Panthers (FLA),30.368421053,12.263157895,4,11.026315789,20.184210526,7.210526316,7.631578947,2.105263158
2011,25,Dallas Stars (DAL),28.75,15.638888889,3.305555556,14.166666667,27.583333333,7.472222222,7.138888889,2.777777778
2010,28,San Jose Sharks (SJS),33.526315789,12.763157895,4.263157895,12.631578947,20.973684211,9.394736842,7.710526316,2.315789474
2015,19,St Louis Blues (STL),30,13.948717949,2.769230769,9.846153846,23.871794872,6.128205128,5.717948718,2.794871795
2010,19,St Louis Blues (STL),30.277777778,12.166666667,3.805555556,16.444444444,23.666666667,5,5.333333333,1.944444444
2017,1,New Jersey Devils (NJD),30.578947368,15.105263158,3,9.447368421,21.526315789,7.736842105,8.578947368,2.973684211
2011,4,Philadelphia Flyers (PHI),31.472222222,15.5,4.611111111,16.611111111,21.361111111,7.555555556,6.055555556,2.666666667
2009,26,Los Angeles Kings (LAK),28.9,12.45,3.775,12.6,24.95,8.7,5.2,2.3
2006,20,Calgary Flames (CGY),28.166666667,12.25,5.361111111,15.138888889,16.722222222,10.833333333,6.388888889,1.833333333
2005,7,Buffalo Sabres (BUF),30.615384615,14.846153846,5.871794872,13.435897436,11.538461538,9.564102564,5.358974359,2.692307692
2016,13,Florida Panthers (FLA),32,11,3.459459459,8.567567568,21.054054054,9.351351351,8.513513514,2.756756757
2013,25,Dallas Stars (DAL),31.842105263,15.131578947,3.605263158,11.315789474,20.921052632,9.947368421,6.868421053,2.736842105
2018,52,Winnipeg Jets (WPG),32.526315789,14.026315789,3.131578947,9.947368421,19.894736842,9.342105263,7.473684211,2.526315789
2009,23,Vancouver Canucks (VAN),30.5,12.125,4.175,15.05,16.725,6.925,7.425,2.5
2003,29,Columbus Blue Jackets (CBJ),27.666666667,11.722222222,5.138888889,14.972222222,14.5,6.888888889,5.805555556,2.277777778
2010,1,New Jersey Devils (NJD),30.216216216,10.594594595,3.216216216,12.108108108,20.945945946,9.243243243,5.621621622,1.945945946
2005,5,Pittsburgh Penguins (PIT),28.783783784,15.108108108,6.405405405,17.486486486,12.891891892,7.945945946,4.216216216,2.756756757
2014,17,Detroit Red Wings (DET),30.756756757,11.216216216,3.783783784,8.405405405,19.405405405,7.783783784,4.891891892,3.027027027
2011,23,Vancouver Canucks (VAN),32,11.868421053,3.815789474,13.973684211,22.368421053,6.763157895,6.289473684,2.421052632
2009,16,Chicago Blackhawks (CHI),33.461538462,13.256410256,3.717948718,11.230769231,19.974358974,6.666666667,8.230769231,1.538461538
2008,20,Calgary Flames (CGY),31.388888889,9.333333333,4.694444444,16.138888889,18.611111111,8.861111111,6.611111111,2.75
2017,23,Vancouver Canucks (VAN),29.487179487,12.948717949,3.384615385,9.769230769,18.179487179,9.282051282,5.641025641,2.666666667
2013,8,Montreal Canadiens (MTL),28.475,18.9,3.425,11.45,19.85,7.55,5.325,2.35
2011,22,Edmonton Oilers (EDM),26.216216216,14.783783784,4.027027027,13.405405405,18.108108108,11.486486486,7.270270270,2.567567568
2009,11,Atlanta Thrashers (ATL),28.512820513,12.153846154,3.666666667,13.179487179,17.384615385,8.794871795,9.282051282,2.512820513
2005,12,Carolina Hurricanes (CAR),30.054054054,14.891891892,6.648648649,13.810810811,13.270270270,6,6.216216216,2.729729730
2016,17,Detroit Red Wings (DET),28.888888889,12.722222222,3.472222222,10.388888889,20,7.5,5.555555556,2.388888889
2013,1,New Jersey Devils (NJD),25.365853659,10.170731707,2.878048780,7.804878049,19.878048780,6.878048780,5.536585366,2.829268293
2018,6,Boston Bruins (BOS),32.871794872,12.538461538,3.179487179,10.743589744,23.358974359,9.769230769,8.564102564,2.512820513
2014,5,Pittsburgh Penguins (PIT),30.805555556,13.861111111,3.333333333,15.638888889,29.361111111,6.916666667,5.25,2.444444444
2017,7,Buffalo Sabres (BUF),30.894736842,14.105263158,2.973684211,7.842105263,23.578947368,7.263157895,5.552631579,2.842105263
2014,2,NY Islanders Islanders (NYI),32.972972973,15.540540541,3.702702703,9.594594595,29.432432432,9.837837838,8.567567568,2.972972973
2015,13,Florida Panthers (FLA),28.567567568,11.189189189,3.486486486,9.216216216,26.027027027,5.972972973,5.567567568,2.675675676
2018,53,Arizona Coyotes (ARI),30.615384615,14.666666667,3.256410256,8.564102564,21.897435897,8.282051282,6.384615385,2.615384615
2008,25,Dallas Stars (DAL),27.6,12.6,4.457142857,15.057142857,21.857142857,10.542857143,8.6,2.514285714
