Season,team_id,Team,Total Wins,Shots,Blocked Shots,Goals,Power Play Goals,Power Play Opportunities,PIM,Player Hits,Giveaways,Takeaways,Injured Players,Standing
2018,53,Arizona Coyotes (ARI),17,30.615384615,14.666666667,2.512820513,0.564102564,3.256410256,8.564102564,21.897435897,8.282051282,6.384615385,2.615384615,
2008,25,Dallas Stars (DAL),15,27.6,12.6,2.885714286,0.657142857,4.457142857,15.057142857,21.857142857,10.542857143,8.6,2.514285714,
2015,10,Toronto Maple Leafs (TOR),14,30.972222222,13.361111111,2.527777778,0.583333333,2.972222222,7.916666667,27.083333333,7.194444444,8.277777778,2.916666667,
2003,8,Montreal Canadiens (MTL),17,27.026315789,12.052631579,2.289473684,0.657894737,3.921052632,12.947368421,15.578947368,12.5,7.605263158,2.552631579,13
2008,7,Buffalo Sabres (BUF),17,30.702702703,12.891891892,2.756756757,0.891891892,4.540540541,14.135135135,17.594594595,10.432432432,5.054054054,2.810810811,
2016,9,Ottawa Senators (OTT),20,28.944444444,17.361111111,2.5,0.527777778,3.194444444,11.388888889,26.333333333,10.277777778,6.888888889,2.111111111,12
2009,5,Pittsburgh Penguins (PIT),26,32.268292683,15.560975610,3.024390244,0.634146341,4.195121951,14.414634146,27.634146341,7.951219512,5.048780488,2.024390244,8
2018,14,Tampa Bay Lightning (TBL),30,33.717948718,13.948717949,4.179487179,1.025641026,3.435897436,8.871794872,24.076923077,8.410256410,7.230769231,3,1
2003,23,Vancouver Canucks (VAN),20,29.648648649,10.243243243,2.891891892,0.729729730,5,14.081081081,16.918918919,10.702702703,7.270270270,2.648648649,7
2014,30,Minnesota Wild (MIN),17,31.705882353,14.941176471,2.852941176,0.470588235,3.382352941,9.470588235,16.764705882,6.852941176,6.117647059,2.588235294,11
2006,10,Toronto Maple Leafs (TOR),17,33.25,12.45,3.1,1.025,5.325,13.925,20.2,12.7,6.875,2.225,
2009,14,Tampa Bay Lightning (TBL),15,28.625,12.825,2.475,0.725,4.125,16.775,21.55,7.975,6.2,2.525,
2009,9,Ottawa Senators (OTT),20,30.275,14.5,2.725,0.55,3.55,14.3,24.05,9.05,8.575,1.975,13
2018,21,Colorado Avalanche (COL),19,31.769230769,15.846153846,3.384615385,0.974358974,3.564102564,9.820512821,19.153846154,6.230769231,5.230769231,2.025641026,16
2005,11,Atlanta Thrashers (ATL),16,31.538461538,12.769230769,3.384615385,1.410256410,6.948717949,18.025641026,16.769230769,10.384615385,8.743589744,2.102564103,
2010,29,Columbus Blue Jackets (CBJ),19,29.918918919,14.351351351,2.513513514,0.486486486,3.810810811,15,25.918918919,4.378378378,6.567567568,2.756756757,
2011,28,San Jose Sharks (SJS),19,34.588235294,16.441176471,2.794117647,0.647058824,3.558823529,10.5,17.382352941,11.205882353,8,2.529411765,12
2015,24,Anaheim Ducks (ANA),14,29.257142857,13.857142857,1.885714286,0.457142857,2.685714286,12.4,26.457142857,9.371428571,4.828571429,2.428571429,6
2018,19,St Louis Blues (STL),15,30.138888889,15.194444444,2.805555556,0.638888889,3.027777778,9.638888889,20.611111111,7.111111111,7.916666667,2.75,12
2008,9,Ottawa Senators (OTT),13,29.342857143,14.828571429,2.342857143,0.771428571,4.257142857,14.542857143,24.885714286,10.142857143,8.6,2.028571429,
2014,10,Toronto Maple Leafs (TOR),20,29.486486486,15.729729730,3.297297297,0.729729730,3.621621622,9.108108108,32.243243243,9.189189189,10.540540541,2.108108108,
2018,15,Washington Capitals (WSH),24,29.578947368,15.394736842,3.552631579,0.710526316,3.052631579,8.815789474,22.289473684,11.631578947,8.131578947,2.815789474,4
2008,21,Colorado Avalanche (COL),19,28.888888889,16.138888889,2.638888889,0.75,4.361111111,13.694444444,17.277777778,9.888888889,8.833333333,2.388888889,
2018,28,San Jose Sharks (SJS),21,35.125,13.325,3.375,0.675,2.975,8.1,17.8,9.5,8.725,2.95,6
2006,6,Boston Bruins (BOS),19,29.055555556,13.5,3,1.055555556,5.25,15.277777778,15.611111111,7.194444444,6,1.972222222,
2009,19,St Louis Blues (STL),17,29.307692308,12.641025641,2.512820513,0.589743590,3.692307692,14.743589744,20.512820513,7.025641026,6.153846154,2.333333333,
2017,20,Calgary Flames (CGY),18,32.684210526,13.526315789,2.684210526,0.605263158,3.473684211,10.131578947,17.184210526,9.736842105,8.473684211,3.026315789,
2008,27,Phoenix Coyotes (PHX),17,27.864864865,14.675675676,2.540540541,0.621621622,4.486486486,14.918918919,21.243243243,4.567567568,4.864864865,2.594594595,
2015,8,Montreal Canadiens (MTL),21,31.435897436,13.051282051,2.794871795,0.641025641,3.307692308,8.820512821,20.666666667,10.666666667,6.461538462,2.897435897,
2017,5,Pittsburgh Penguins (PIT),19,34.794871795,14.923076923,2.769230769,0.897435897,3.615384615,10.538461538,23.948717949,8.461538462,6.307692308,2.564102564,10
2016,5,Pittsburgh Penguins (PIT),24,34.648648649,15.918918919,3.432432432,0.783783784,3.486486486,9.270270270,24.432432432,8.594594595,6.459459459,2.864864865,2
2003,30,Minnesota Wild (MIN),14,23.973684211,13.921052632,2.184210526,0.578947368,4.078947368,12.736842105,7.552631579,13.210526316,7.315789474,2.684210526,
2003,1,New Jersey Devils (NJD),19,29.114285714,10.171428571,2.457142857,0.628571429,3.857142857,10.914285714,11.457142857,13.371428571,8.028571429,2.885714286,9
2017,8,Montreal Canadiens (MTL),16,33.666666667,16.384615385,2.538461538,0.564102564,2.974358974,8.666666667,24.384615385,13.487179487,6.461538462,2.743589744,
2018,12,Carolina Hurricanes (CAR),16,37.157894737,12.684210526,2.447368421,0.5,3.473684211,7.394736842,27.210526316,11.5,11.736842105,2.394736842,11
2016,12,Carolina Hurricanes (CAR),16,30,13.514285714,2.6,0.571428571,2.828571429,6.171428571,18.6,10.228571429,9.514285714,2.971428571,
2013,20,Calgary Flames (CGY),14,26.743589744,18.179487179,2.358974359,0.461538462,3.179487179,10.897435897,22.076923077,9.974358974,6.948717949,2.794871795,
2010,26,Los Angeles Kings (LAK),22,29.216216216,13.243243243,2.945945946,0.702702703,3.891891892,13.513513514,25.108108108,10.297297297,5.972972973,2.729729730,12
2009,15,Washington Capitals (WSH),24,32.35,13.7,3.525,0.925,3.925,10.5,19.775,9.25,8,2.875,1
2017,16,Chicago Blackhawks (CHI),18,34.675675676,13.756756757,2.945945946,0.594594595,3.918918919,8.405405405,18.945945946,9.297297297,7.783783784,2.945945946,
2011,26,Los Angeles Kings (LAK),18,31.078947368,12.789473684,2.078947368,0.552631579,3.894736842,11.052631579,26.631578947,10.815789474,4.973684211,3.131578947,13
2005,30,Minnesota Wild (MIN),18,26.410256410,12.461538462,2.820512821,1.051282051,5.538461538,14.666666667,9.846153846,9.410256410,6.871794872,2.846153846,
2015,14,Tampa Bay Lightning (TBL),18,28.157894737,12.473684211,2.526315789,0.684210526,3.552631579,9.026315789,19.763157895,7.289473684,5.289473684,2.368421053,12
2003,21,Colorado Avalanche (COL),17,30.628571429,13,2.885714286,0.942857143,4.428571429,16,16.8,8.514285714,10.771428571,2.2,10
2009,6,Boston Bruins (BOS),20,30.743589744,11.589743590,2.512820513,0.615384615,3.512820513,11.538461538,24.051282051,5.615384615,4.512820513,1.846153846,14
2006,14,Tampa Bay Lightning (TBL),18,31.461538462,12.384615385,3.153846154,1,5.666666667,10.333333333,14.179487179,10.641025641,9.128205128,1.461538462,15
2005,25,Dallas Stars (DAL),24,28,12.138888889,3.305555556,1.083333333,6.694444444,19.333333333,19.722222222,13.222222222,7.388888889,1.694444444,3
2005,19,St Louis Blues (STL),9,29.055555556,13.75,2.638888889,1.055555556,7.055555556,19.138888889,14.527777778,11.694444444,3.972222222,2.583333333,
2014,16,Chicago Blackhawks (CHI),25,35.351351351,12.378378378,3.027027027,0.702702703,3.756756757,7.918918919,15.459459459,8.081081081,7.810810811,2.648648649,7
2010,17,Detroit Red Wings (DET),24,33.270270270,11.108108108,3.459459459,0.972972973,4.108108108,9.837837838,22.918918919,9.162162162,7,2.567567568,6
2008,22,Edmonton Oilers (EDM),17,28.342857143,12.685714286,2.714285714,0.857142857,4.571428571,15.457142857,15.342857143,11.142857143,6.457142857,2.685714286,
2014,12,Carolina Hurricanes (CAR),10,29.333333333,13.694444444,1.972222222,0.555555556,3.138888889,7.75,22.361111111,7.944444444,8.583333333,2.694444444,
2017,18,Nashville Predators (NSH),23,30.710526316,14.631578947,3.157894737,0.947368421,3.789473684,14,20.947368421,9.289473684,7.552631579,2.605263158,1
2011,10,Toronto Maple Leafs (TOR),18,28.729729730,15.594594595,3.054054054,0.729729730,3.648648649,11.162162162,23.081081081,10.378378378,7.162162162,2.945945946,
2015,15,Washington Capitals (WSH),28,30.297297297,14.918918919,3.108108108,0.756756757,3,8.783783784,24.486486486,8.648648649,7.243243243,2.810810811,1
2015,3,NY Rangers Rangers (NYR),21,28,15.368421053,2.921052632,0.578947368,2.789473684,9.131578947,26.236842105,9.684210526,7.421052632,2.5,9
2015,2,NY Islanders Islanders (NYI),21,29.131578947,15.631578947,2.684210526,0.5,2.763157895,8.552631579,32.947368421,9.368421053,8.315789474,2.789473684,10
2010,2,NY Islanders Islanders (NYI),10,28.114285714,16.942857143,2.257142857,0.628571429,4.142857143,16.828571429,23.057142857,9.342857143,8.885714286,2.428571429,
2014,15,Washington Capitals (WSH),18,30.083333333,14.583333333,2.888888889,0.694444444,3.027777778,10.5,28.416666667,7.805555556,7.75,2.527777778,9
2008,10,Toronto Maple Leafs (TOR),15,32.594594595,15.513513514,3.054054054,0.918918919,4.378378378,12.108108108,20.216216216,10.162162162,6.891891892,2.216216216,
2006,19,St Louis Blues (STL),12,27.578947368,15.289473684,2.315789474,0.631578947,4.657894737,16.473684211,15.763157895,10.947368421,5.973684211,2.210526316,
2006,2,NY Islanders Islanders (NYI),19,29.108108108,15.540540541,2.864864865,0.729729730,4.459459459,14.810810811,23.594594595,10.135135135,9.270270270,1.324324324,16
2005,21,Colorado Avalanche (COL),19,29.076923077,15.948717949,3.666666667,1.205128205,6.179487179,14.923076923,13.179487179,8.487179487,10.512820513,2.743589744,13
2015,1,New Jersey Devils (NJD),19,24.921052632,12.342105263,2.315789474,0.657894737,3.315789474,10.526315789,23.026315789,7.184210526,6.210526316,2.605263158,
2005,23,Vancouver Canucks (VAN),21,29.947368421,12.210526316,3.368421053,1.263157895,6.789473684,17.342105263,17.052631579,8.394736842,6.868421053,1.684210526,
2005,2,NY Islanders Islanders (NYI),17,28.783783784,13.891891892,3.189189189,1.162162162,6.270270270,17.405405405,18.621621622,9.351351351,8.108108108,1.648648649,
2006,18,Nashville Predators (NSH),26,27.871794872,12.256410256,3.230769231,0.974358974,5.461538462,14.717948718,14.384615385,8.179487179,6.717948718,2.205128205,3
2006,9,Ottawa Senators (OTT),21,31.7,15.5,3.15,0.875,5.1,14.9,22.3,10.375,8.4,1.525,9
2011,19,St Louis Blues (STL),21,30.702702703,13.135135135,2.567567568,0.432432432,3.405405405,11.297297297,22.243243243,5.243243243,5.891891892,2.540540541,3
2015,28,San Jose Sharks (SJS),18,30.194444444,16,2.75,0.722222222,3.305555556,9.5,23.055555556,10.583333333,6.361111111,2.75,11
